HD 144579,16,4,56.79362,39,9,23.43458,46.834242,G8V
CD-33 10873,16,1,56.58967,-33,57,6.72516,46.794261,M3.5
LP 846-15,9,34,27.93441,-26,43,26.7921,46.719323,dM5.5
L 37-56,10,47,38.68572,-79,27,46.03706,46.714505,M3V
G 240-23,16,40,20.63482,67,36,4.73896,46.713367,M7V
G 173-37,2,7,3.85611,49,38,43.46197,46.705541,M3.5Ve
G 123-55,12,42,49.88439,41,53,47.14326,46.700191,M4.0Ve
2MASS J00492565+6518038,0,49,25.63717,65,18,3.70174,46.673860,M5
LSPM J0501+2237,5,1,18.01765,22,37,0.91306,46.668250,M5V
G 226-66,17,35,34.47852,61,40,53.62811,46.665646,M1V
CD-28 16676,20,27,41.65724,-27,44,51.74178,46.620554,M3V
PM J02133+3648,2,13,20.59102,36,48,50.53677,46.581736,M4.5V
LP 831-1,2,54,39.5141,-22,15,58.51655,46.566905,M3
LP 994-33,3,2,6.35636,-39,50,51.9103,46.565176,
* tau01 Eri,2,45,6.1988,-18,34,21.44218,46.563182,F7V
L 374-6,4,24,56.19512,-40,2,47.58993,46.551685,M3V
Wolf 433,12,38,52.44104,11,41,46.14304,46.518023,M3.5V
HD 173818,18,47,27.25061,-3,38,23.40177,46.505023,K5V
PM J19164+8413,19,16,24.88609,84,13,40.89992,46.500249,M5.0V
HD 234078,13,52,0.00528,49,57,3.2733,46.494614,K7V
2MASSI J0423485-041403,4,23,48.57638,-4,14,3.2465,46.493952,L6.5+T2
ULAS2MASS J1231+0847,12,31,47.53608,8,47,33.1116,46.460969,T6
LSR J0556+1144,5,56,57.23268,11,44,33.16119,46.384784,M5.5V
HD 150689,16,44,15.01574,-38,56,37.08744,46.380365,K3V
BD+16 2658,14,29,29.69738,15,31,57.50134,46.378452,M2/3V
LEHPM 2-2758,10,38,47.75168,-86,32,43.93071,46.288803,
WT 795,21,36,25.30387,-44,1,0.07779,46.268447,M4.5
LSPM J0357+4107,3,57,19.97809,41,7,42.62471,46.258210,M7V
2MASS J14392836+1929149,14,39,28.14994,19,29,15.90879,46.227133,L1V
LP 735-29,12,44,0.73948,-11,10,30.38707,46.216063,M4.5V
CD-48 12818,18,59,7.45804,-48,16,28.06326,46.200875,M4V
BD+67 552,8,36,25.46597,67,17,41.78263,46.184977,M0.5V
HD 318327,17,46,12.7509,-32,6,9.13887,46.145967,M1.5
HD 188088,19,54,17.74494,-23,56,27.85937,46.131738,K3VaCN1
CD-32 13298,17,46,14.4217,-32,6,8.3896,46.110542,M2.5
* 18 Sco,16,15,37.27028,-8,22,9.98213,46.108195,G2Va
2MASS J00001354+2554180,0,0,13.54488,25,54,18.0648,46.067232,T4.5
EGGR 535,10,38,55.57002,-20,40,56.83411,46.042780,DQ10P
PM J04061-0534,4,6,6.87514,-5,34,44.6163,46.021795,M3.5V
RX J0747.2+5020,7,47,13.86801,50,20,38.49835,46.017185,M4.0Ve
HD 110315,12,41,6.48509,15,22,35.99832,46.015691,K4.5V
LP 322-628,13,6,50.30516,30,50,53.9747,46.004917,M6V
Ross 863,17,7,7.48977,21,33,14.47291,45.957919,M3V
2MASSI J0318540-342129,3,18,54.07609,-34,21,29.08407,45.949632,L7
BD-03 2002,7,40,2.90134,-3,36,13.23066,45.942383,K7V
2MASS J10073369-4555147,10,7,33.69888,-45,55,14.7108,45.937465,T5
CWISEP J201146.45-481259.7,20,11,46.41543,-48,12,53.2436,45.937465,
2MASS J21543318+5942187,21,54,33.18696,59,42,18.774,45.937465,T6
2MASS J00310928+5749364,0,31,9.28752,57,49,36.4692,45.937465,L9
2MASS J10132597-7842551,10,13,25.97203,-78,42,55.14104,45.930155,L3
G 270-1,0,31,35.41251,-5,52,13.07542,45.922136,M3.5V
HD 61606,7,39,59.32861,-3,35,51.02758,45.916576,K3V
G 184-24,18,45,22.94865,18,51,58.53922,45.905460,M4.0V
HD 120467,13,49,44.80638,-22,6,39.93191,45.887054,K6Va
HD 211415,22,18,15.6134,-53,37,37.46681,45.876856,G0V
G 215-50,22,29,48.98656,41,28,48.57645,45.866017,M4V
L 617-35,13,23,38.0303,-25,54,45.14119,45.860535,dM5.0
LP 885-35,2,15,8.04246,-30,40,1.40149,45.832888,M8
BD+19 381,2,35,53.30697,20,13,11.58235,45.797878,M3V
Wolf 1039,23,34,3.33446,0,10,45.87708,45.786627,M2/3V
LP 837-53,5,55,43.2141,-26,51,23.41349,45.769407,M2.5V
CWISEP J223022.60+254907.5,22,30,23.1945,25,49,13.9437,45.744180,
